run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8
173.0,173.0,173.0,143.0,149.0,42.0,147.0,177.0
123.0,139.0,161.0,137.0,173.0,154.0,137.0,173.0
173.0,187.0,173.0,173.0,47.0,173.0,173.0,103.0
156.0,187.0,178.0,143.0,104.0,173.0,184.0,143.0
147.0,174.0,213.0,154.0,143.0,113.0,242.0,137.0
81.0,213.0,31.0,173.0,173.0,172.0,168.0,145.0
141.0,144.0,93.0,168.0,112.0,113.0,26.0,169.0
173.0,133.0,247.0,177.0,143.0,170.0,173.0,204.0
187.0,253.0,171.0,237.0,173.0,104.0,137.0,87.0
218.0,177.0,214.0,142.0,112.0,183.0,87.0,173.0
137.0,173.0,117.0,138.0,154.0,167.0,173.0,241.0
173.0,137.0,140.0,57.0,171.0,24.0,83.0,173.0
183.0,137.0,173.0,214.0,163.0,137.0,173.0,101.0
173.0,217.0,194.0,107.0,173.0,176.0,114.0,142.0
137.0,212.0,173.0,173.0,163.0,148.0,143.0,147.0
147.0,147.0,164.0,86.0,154.0,87.0,69.0,27.0
78.0,147.0,174.0,197.0,181.0,173.0,184.0,178.0
184.0,173.0,47.0,113.0,187.0,148.0,163.0,114.0
173.0,173.0,87.0,204.0,157.0,173.0,142.0,141.0
71.0,237.0,173.0,173.0,78.0,117.0,191.0,184.0
219.0,173.0,173.0,247.0,138.0,173.0,179.0,173.0
227.0,179.0,173.0,143.0,173.0,71.0,37.0,173.0
173.0,171.0,183.0,168.0,91.0,173.0,197.0,247.0
137.0,171.0,173.0,117.0,179.0,37.0,178.0,91.0
161.0,173.0,163.0,136.0,83.0,199.0,233.0,137.0
173.0,107.0,173.0,177.0,137.0,137.0,174.0,193.0
137.0,178.0,134.0,181.0,123.0,173.0,137.0,147.0
148.0,182.0,137.0,179.0,26.0,179.0,165.0,153.0
137.0,181.0,173.0,71.0,184.0,179.0,205.0,153.0
154.0,173.0,173.0,207.0,43.0,83.0,39.0,153.0
113.0,163.0,132.0,47.0,176.0,208.0,173.0,137.0
143.0,173.0,104.0,102.0,158.0,173.0,183.0,112.0
181.0,183.0,173.0,153.0,137.0,173.0,184.0,163.0
137.0,219.0,173.0,173.0,173.0,173.0,137.0,247.0
177.0,13.0,76.0,192.0,173.0,137.0,173.0,173.0
173.0,173.0,178.0,114.0,241.0,43.0,187.0,184.0
177.0,162.0,138.0,170.0,241.0,129.0,152.0,172.0
143.0,102.0,193.0,147.0,199.0,173.0,163.0,178.0
173.0,117.0,203.0,173.0,96.0,145.0,58.0,137.0
103.0,172.0,173.0,112.0,137.0,197.0,143.0,172.0
74.0,173.0,169.0,147.0,134.0,197.0,117.0,143.0
137.0,154.0,214.0,177.0,203.0,37.0,182.0,57.0
196.0,211.0,193.0,173.0,174.0,163.0,182.0,183.0
83.0,59.0,73.0,214.0,173.0,77.0,173.0,207.0
76.0,141.0,217.0,147.0,82.0,153.0,217.0,167.0
143.0,204.0,79.0,246.0,214.0,141.0,213.0,47.0
224.0,193.0,173.0,183.0,247.0,214.0,173.0,179.0
174.0,173.0,173.0,147.0,174.0,173.0,237.0,113.0
114.0,203.0,117.0,174.0,173.0,173.0,83.0,203.0
174.0,224.0,137.0,102.0,137.0,179.0,177.0,137.0
117.0,141.0,173.0,132.0,173.0,137.0,47.0,143.0
172.0,216.0,117.0,147.0,73.0,163.0,217.0,173.0
173.0,217.0,171.0,187.0,173.0,186.0,166.0,137.0
43.0,173.0,137.0,197.0,184.0,173.0,217.0,196.0
153.0,173.0,203.0,173.0,147.0,104.0,163.0,47.0
62.0,157.0,212.0,87.0,207.0,137.0,247.0,213.0
