run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8
142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0
87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0
203.0,203.0,231.0,231.0,203.0,203.0,203.0,203.0
15.0,56.0,15.0,15.0,56.0,56.0,56.0,56.0
56.0,11.0,198.0,198.0,11.0,11.0,11.0,11.0
241.0,249.0,44.0,44.0,244.0,249.0,248.0,249.0
178.0,178.0,163.0,163.0,178.0,38.0,179.0,33.0
33.0,33.0,72.0,72.0,33.0,174.0,33.0,178.0
99.0,92.0,209.0,209.0,99.0,92.0,92.0,92.0
164.0,167.0,33.0,33.0,167.0,221.0,165.0,215.0
7.0,214.0,176.0,177.0,215.0,7.0,7.0,64.0
222.0,5.0,91.0,91.0,72.0,163.0,221.0,7.0
51.0,73.0,248.0,8.0,38.0,45.0,104.0,188.0
189.0,188.0,7.0,254.0,191.0,118.0,38.0,121.0
114.0,121.0,119.0,119.0,124.0,200.0,190.0,254.0
38.0,45.0,202.0,56.0,7.0,33.0,73.0,39.0
246.0,239.0,56.0,183.0,250.0,76.0,255.0,167.0
73.0,160.0,184.0,27.0,63.0,255.0,146.0,83.0
161.0,8.0,23.0,244.0,182.0,19.0,18.0,210.0
12.0,97.0,137.0,68.0,109.0,184.0,209.0,15.0
205.0,183.0,245.0,151.0,45.0,67.0,61.0,146.0
94.0,62.0,68.0,103.0,228.0,130.0,134.0,72.0
127.0,201.0,101.0,217.0,156.0,241.0,242.0,231.0
183.0,134.0,215.0,39.0,13.0,58.0,95.0,105.0
29.0,19.0,39.0,186.0,201.0,95.0,27.0,48.0
67.0,251.0,178.0,75.0,88.0,212.0,183.0,199.0
238.0,76.0,82.0,12.0,134.0,3.0,50.0,26.0
145.0,110.0,154.0,230.0,241.0,147.0,216.0,158.0
8.0,228.0,11.0,94.0,19.0,80.0,168.0,237.0
176.0,43.0,223.0,161.0,76.0,226.0,3.0,61.0
53.0,169.0,95.0,48.0,163.0,14.0,119.0,183.0
214.0,84.0,167.0,205.0,210.0,169.0,77.0,94.0
91.0,197.0,48.0,133.0,52.0,52.0,201.0,128.0
162.0,31.0,130.0,17.0,97.0,107.0,154.0,17.0
25.0,146.0,241.0,249.0,148.0,193.0,42.0,245.0
