run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0
4.0,4.0,7.0,7.0,4.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,8.0,7.0,3.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,8.0,7.0,7.0,2.0,2.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,3.0,7.0
7.0,7.0,7.0,3.0,2.0,7.0,7.0,7.0
4.0,7.0,7.0,7.0,4.0,7.0,8.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,5.0,8.0,7.0,7.0
7.0,7.0,9.0,1.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,2.0,2.0,7.0,7.0,7.0
7.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,8.0,7.0,7.0,8.0,9.0,9.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,2.0,7.0,6.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
5.0,7.0,7.0,7.0,7.0,2.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,4.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0
4.0,7.0,7.0,7.0,7.0,8.0,2.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,6.0,7.0,7.0,4.0,7.0,5.0
7.0,7.0,7.0,1.0,7.0,9.0,7.0,8.0
7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0
9.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0
7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0
7.0,3.0,7.0,7.0,7.0,7.0,7.0,5.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0
4.0,7.0,7.0,9.0,7.0,9.0,2.0,7.0
7.0,5.0,5.0,3.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0
7.0,7.0,3.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,3.0,7.0,8.0,7.0,7.0,7.0,4.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0
7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,3.0,7.0,2.0,8.0,7.0,3.0,7.0
7.0,4.0,7.0,7.0,7.0,7.0,7.0,5.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0
7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0
8.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0
7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
4.0,7.0,7.0,7.0,4.0,7.0,5.0,7.0
7.0,7.0,2.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,2.0,7.0,7.0,5.0
3.0,3.0,7.0,7.0,7.0,7.0,3.0,7.0
1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0
7.0,7.0,4.0,7.0,7.0,6.0,7.0,7.0
7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,2.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,2.0,7.0,7.0,7.0
7.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,8.0,7.0,8.0,7.0,7.0
7.0,1.0,7.0,7.0,7.0,6.0,7.0,8.0
7.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,6.0,8.0,7.0,7.0
3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,2.0,8.0,7.0,7.0,7.0
3.0,7.0,7.0,7.0,7.0,3.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0
7.0,7.0,2.0,7.0,7.0,7.0,8.0,7.0
7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,4.0,7.0,7.0,8.0,7.0,7.0
7.0,8.0,7.0,7.0,8.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0
5.0,7.0,2.0,7.0,4.0,5.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0
2.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0
7.0,7.0,3.0,7.0,8.0,7.0,4.0,7.0
7.0,7.0,5.0,7.0,7.0,8.0,8.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0
7.0,1.0,8.0,7.0,7.0,7.0,7.0,4.0
3.0,7.0,7.0,7.0,7.0,3.0,7.0,7.0
7.0,8.0,7.0,7.0,7.0,7.0,2.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,2.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,4.0,7.0,6.0
7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,4.0,7.0,6.0,5.0,7.0,7.0
5.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
4.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,6.0,8.0,7.0,7.0,8.0
2.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0
5.0,7.0,7.0,8.0,7.0,7.0,7.0,3.0
7.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
5.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0
7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
